cause_i,effect_j,lingam_b_ij,b_median_bootstrap,b_iqr_low,b_iqr_high,bootstrap_freq,is_stable_edge,has_path,n_int_cells,mw_pvalue_raw,mw_p_bh,wasserstein,verdict,mw_pvalue_raw_rev,mw_p_bh_rev
ENSG00000109475,ENSG00000198755,0.0,0.0,0.0,0.0,0.13,False,True,264,6.944483251966301e-07,1.029968302538822e-06,0.09646079988996474,indirect_path,0.054826822717162715,0.06355337518037742
ENSG00000144713,ENSG00000198034,0.0,0.0,0.0,0.0,0.01,False,False,166,0.001918336191949478,0.0024644318962270665,0.096441142182975,false_omission,1.9523314769462176e-29,7.635785332056318e-29
ENSG00000134419,ENSG00000089157,0.0,0.0,0.0,0.0,0.05,False,True,251,4.986117494232184e-07,7.489815183370107e-07,0.09625529295044138,indirect_path,0.028562743998373042,0.03427529279804765
ENSG00000089009,ENSG00000063177,0.0,0.0,0.0,0.0,0.04,False,False,218,4.737459388100586e-09,7.637797120357587e-09,0.09622337340371058,false_omission,0.1425808760633686,0.15766011007635314
ENSG00000167526,ENSG00000109475,0.0,0.0,0.0,0.0,0.05,False,False,270,5.292755404288234e-06,7.60428531554881e-06,0.09619238616950124,false_omission,1.016976286075538e-19,2.485942032629093e-19
ENSG00000161970,ENSG00000137818,0.0,0.0,0.0,0.0,0.24,False,False,167,0.02736939047128989,0.032880632921140074,0.09520860977177313,false_omission,0.31811118369799285,0.3413876117734558
ENSG00000161970,ENSG00000112306,0.0,0.0,0.0,0.0264721149402717,0.37,False,True,167,0.00022006517722108072,0.0002934202362947743,0.09493113555701198,indirect_path,1.1668161773540374e-36,6.010526259931041e-36
ENSG00000137818,ENSG00000163682,0.0,0.0,0.0,0.0,0.15,False,True,94,0.00018111500463895567,0.00024271249352631624,0.09380882259712806,indirect_path,7.764022873770768e-10,1.289120779041184e-09
ENSG00000265681,ENSG00000161970,0.0,0.0,0.0,0.0,0.21,False,False,119,0.0004566209675290163,0.000601987193146868,0.09153736829526957,false_omission,1.0853241958550993e-18,2.524454517231244e-18
ENSG00000089009,ENSG00000112306,0.0,0.0,0.0,0.0,0.02,False,True,218,0.9337923217244389,0.9382347209714629,0.09132811004806779,indirect_path,2.9693053190743066e-52,3.408246105372247e-51
